junction,betweenness,degree_centrality,eigenvector,degree,latitude,longitude,event_count,corridor,betweenness_norm,degree_centrality_norm,eigenvector_norm
chandralayoutjunc-nearwatertank,0.018724,0.023891,0.0,7,12.960020400000001,77.52715265,2,bellary road 1,0.14190868853452981,0.8571428571428572,0.0
bmshrijunc(cmh-100ftrd)junc,0.018689,0.023891,0.0,7,12.9783724,77.640885,3,irr(thanisandra road),0.14164342448311404,0.8571428571428572,0.0
kalyannagar-orrjunc,0.017588,0.017065,0.0,5,13.02410705,77.6431594,6,orr north 1,0.13329897532286425,0.5714285714285715,0.0
jpnagar9thcross-24thmainjn,0.017364,0.017065,0.0,5,12.9119511,77.5858317,5,non-corridor,0.13160128539380345,0.5714285714285715,0.0
bilekahallijunc,0.017329,0.020478,0.0,6,12.89996565,77.60092945,14,bannerghata road,0.13133602134238767,0.7142857142857143,0.0
dhobighatjunc,0.017278,0.013652,0.0,4,12.98646261,77.5502535,7,west of chord road,0.13094949372461046,0.4285714285714286,0.0
wiprojunc-koramangala,0.017244,0.020478,0.0,6,12.9297671,77.6330898,1,non-corridor,0.13069180864609226,0.7142857142857143,0.0
modibridgejunction,0.01653,0.023891,0.0,7,12.9994047,77.5499404,3,west of chord road,0.12528042199721093,0.8571428571428572,0.0
kundanahalligatejunc,0.015712,0.017065,0.0,5,12.9557474,77.71708396,11,varthur road,0.11908082216697993,0.5714285714285715,0.0
santhecircle,0.015163,0.020478,0.0,6,13.0977513,77.5978107,25,bellary road 2,0.11491996604620142,0.7142857142857143,0.0
isrojunction-newbelrd,0.014869,0.013652,0.0,4,13.0351175,77.5677308,1,non-corridor,0.1126917480143091,0.4285714285714286,0.0
srigandakaval,0.014435,0.013652,0.0,4,12.988537050000001,77.50953595,14,magadi road,0.10940247377675377,0.4285714285714286,0.0
horamavujunction,0.014318,0.013652,0.0,4,13.018956849999999,77.65629645,12,orr north 1,0.10851573394773541,0.4285714285714286,0.0
agarajunction,0.014301,0.017065,0.0,5,12.92457375,77.64957634999999,6,orr east 1,0.10838689140847632,0.5714285714285715,0.0
rajajinagagr1stblockjunction,0.014215,0.017065,0.0,5,13.00449865,77.54946015,2,west of chord road,0.10773509973928333,0.5714285714285715,0.0
coffeeboardjunc,0.014146,0.017065,0.0,5,12.98326395,77.5957836,8,cbd 2,0.10721215060934942,0.5714285714285715,0.0
srspeenyajunc,0.013957,0.020478,0.0,6,13.0346029,77.52987795,20,tumkur road,0.10577972473170436,0.7142857142857143,0.0
oldmadrasrd-suddaguntepalyardjunc,0.013139,0.013652,0.0,4,12.9900878,77.654618,3,old madras road,0.09958012490147335,0.4285714285714286,0.0
hsr14thmainjunc,0.013079,0.027304,0.0,8,12.9183015,77.63809397,3,orr east 1,0.09912538652761778,1.0,0.0
jpnagar15thcrossjunction,0.012808,0.020478,0.0,6,12.9060618,77.5856503,7,orr west 1,0.09707148487237009,0.7142857142857143,0.0
kanakapurard-ringrdjunction,0.012295,0.017065,0.0,5,12.9061826,77.5732899,9,orr west 1,0.09318347177590493,0.5714285714285715,0.0
bemlgatejunc(suranjandasrd),0.012115,0.013652,0.0,4,12.9692543,77.65860705,2,non-corridor,0.09181925665433821,0.4285714285714286,0.0
peenya2ndstagebusstand,0.011884,0.013652,0.0,4,13.009776500000001,77.50594505000001,2,non-corridor,0.09006851391499424,0.4285714285714286,0.0
